,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
494,nm0224331,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,2,1,0,0,2,0,0,3,2011.0,5881.0,24508.0
495,nm0225269,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,1754.0,3929.0
496,nm0226386,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2004.0,326.0,81.0
497,nm0226398,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2002.0,50.0,37.0
498,nm0227570,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2003.0,1107.0,642.0
499,nm0228853,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1964.0,2191.0,1682.0
500,nm0229066,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1996.0,24.0,33.0
501,nm0229073,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2003.0,100.0,338.0
502,nm0229565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004.0,9.0,9.0
503,nm0230666,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2023.0,17615.0,24128.0
504,nm0230695,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1984.0,308.0,509.0
505,nm0230696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1979.0,182.0,950.0
506,nm0230859,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,2,4,0,0,1,0,0,6,2014.0,17336.0,26483.0
507,nm0231319,0,0,1,1,1,11,0,2,0,15,2,0,0,0,0,0,1,5,0,0,0,0,0,20,2002.0,1343.0,39.0
508,nm0231596,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2022.0,1996.0,94569.0
509,nm0232540,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1969.0,4366.0,136.0
510,nm0233123,0,0,0,0,0,11,1,0,0,11,0,0,0,1,0,0,0,6,0,0,0,0,0,17,2012.0,719.0,2180.0
511,nm0234748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993.0,13.0,13.0
512,nm0235370,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990.0,22.0,160.0
513,nm0237921,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1977.0,99.0,13.0
514,nm0238506,0,0,1,0,0,3,0,1,1,8,1,0,1,1,0,2,0,3,0,0,0,0,0,11,2011.0,680.0,88.0
515,nm0239381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1979.0,19.0,58.0
516,nm0239498,0,0,1,1,0,18,0,0,0,2,1,2,0,0,0,0,0,4,0,1,0,0,0,18,2016.0,1762.0,3190.0
517,nm0239586,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1992.0,41.0,118.0
518,nm0240797,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,1980.0,21594.0,143118.0
519,nm0241121,5,0,0,3,0,19,0,7,1,13,0,0,0,1,1,0,1,4,0,0,6,0,0,27,2012.0,16445.0,8883.0
520,nm0241173,1,0,0,2,0,5,0,1,0,2,0,1,0,0,0,0,2,1,2,0,1,0,0,6,2013.0,66342.0,16316.0
521,nm0241222,1,0,0,1,0,2,0,1,0,3,0,0,0,1,0,0,1,2,0,0,2,0,0,5,2014.0,5331.0,1497.0
522,nm0241487,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1988.0,857.0,46.0
523,nm0241622,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010.0,26.0,3257.0
524,nm0243109,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1996.0,4098.0,4098.0
525,nm0243231,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2014.0,15053.0,36259.0
